Season,Match_ID,Match_Name,League_Stage,Year,Venue,Match_Outcome,Start_Date,End_Date,Result,Winning Margin,team_score_1,team_score_2,team_name_1,team_id_1,team_name_2,team_id_2
1,1,Match 1,League,2014,"Dome,Nsci,Svp Stadium,Mumbai",U Mumba beat Jaipur Pink Panthers (45 - 31),07/26/2014T8:00:00TPM,07/26/2014T8:00:00TPM,,14,45,31,U Mumba,5,Jaipur Pink Panthers,3
1,2,Match 2,League,2014,"Dome,Nsci,Svp Stadium,Mumbai",Bengaluru Bulls beat Dabang Delhi (47 - 28),07/26/2014T9:00:00TPM,07/26/2014T9:00:00TPM,,19,28,47,Dabang Delhi,2,Bengaluru Bulls,1
1,3,Match 3,League,2014,"Dome,Nsci,Svp Stadium,Mumbai",Bengaluru Bulls beat Puneri Paltan (40 - 37),07/27/2014T8:00:00TPM,07/27/2014T8:00:00TPM,,3,40,37,Bengaluru Bulls,1,Puneri Paltan,7
1,4,Match 4,League,2014,"Dome,Nsci,Svp Stadium,Mumbai",U Mumba beat Bengal Warriors (36 - 25),07/27/2014T9:00:00TPM,07/27/2014T9:00:00TPM,,11,36,25,U Mumba,5,Bengal Warriors,4
1,5,Match 5,League,2014,"Dome,Nsci,Svp Stadium,Mumbai",Dabang Delhi beat Puneri Paltan (35 - 31),07/28/2014T8:00:00TPM,07/28/2014T8:00:00TPM,,4,31,35,Puneri Paltan,7,Dabang Delhi,2
1,6,Match 6,League,2014,"Dome,Nsci,Svp Stadium,Mumbai",Match Drawn (35 - 35),07/28/2014T9:00:00TPM,07/28/2014T9:00:00TPM,Tied,0,35,35,U Mumba,5,Telugu Titans,8
1,7,Match 7,League,2014,"Dome,Nsci,Svp Stadium,Mumbai",U Mumba beat Patna Pirates (36 - 33),07/29/2014T8:00:00TPM,07/29/2014T8:00:00TPM,,3,36,33,U Mumba,5,Patna Pirates,6
1,8,Match 8,League,2014,Netaji Indoor Stadium,Bengaluru Bulls beat Bengal Warriors (46 - 30),07/30/2014T5:30:00TAM,07/30/2014T5:30:00TAM,,16,30,46,Bengal Warriors,4,Bengaluru Bulls,1
1,9,Match 9,League,2014,Netaji Indoor Stadium,Jaipur Pink Panthers beat Telugu Titans (46 - 32),07/31/2014T5:30:00TAM,07/31/2014T5:30:00TAM,,14,46,32,Jaipur Pink Panthers,3,Telugu Titans,8
1,10,Match 10,League,2014,Netaji Indoor Stadium,Bengal Warriors beat Dabang Delhi (42 - 40),07/31/2014T5:30:00TAM,07/31/2014T5:30:00TAM,,2,42,40,Bengal Warriors,4,Dabang Delhi,2
1,11,Match 11,League,2014,Netaji Indoor Stadium,Patna Pirates beat Telugu Titans (38 - 35),08/01/2014T5:30:00TAM,08/01/2014T5:30:00TAM,,3,35,38,Telugu Titans,8,Patna Pirates,6
1,12,Match 12,League,2014,Netaji Indoor Stadium,Bengal Warriors beat Puneri Paltan (38 - 35),08/01/2014T5:30:00TAM,08/01/2014T5:30:00TAM,,3,38,35,Bengal Warriors,4,Puneri Paltan,7
1,13,Match 13,League,2014,Netaji Indoor Stadium,Jaipur Pink Panthers beat Patna Pirates (40 - 18),08/02/2014T5:30:00TAM,08/02/2014T5:30:00TAM,,22,18,40,Patna Pirates,6,Jaipur Pink Panthers,3
1,14,Match 14,League,2014,Netaji Indoor Stadium,U Mumba beat Bengal Warriors (38 - 29),08/02/2014T5:30:00TAM,08/02/2014T5:30:00TAM,,9,29,38,Bengal Warriors,4,U Mumba,5
1,15,Match 15,League,2014,Thyagaraj Indoor Stadium,Telugu Titans beat Dabang Delhi (39 - 35),08/03/2014T5:30:00TAM,08/03/2014T5:30:00TAM,,4,35,39,Dabang Delhi,2,Telugu Titans,8
1,16,Match 16,League,2014,Thyagaraj Indoor Stadium,Puneri Paltan beat Bengaluru Bulls (33 - 31),08/03/2014T5:30:00TAM,08/03/2014T5:30:00TAM,,2,33,31,Puneri Paltan,7,Bengaluru Bulls,1
1,17,Match 17,League,2014,Thyagaraj Indoor Stadium,U Mumba beat Puneri Paltan (44 - 28),08/04/2014T5:30:00TAM,08/04/2014T5:30:00TAM,,16,44,28,U Mumba,5,Puneri Paltan,7
1,18,Match 18,League,2014,Thyagaraj Indoor Stadium,Patna Pirates beat Dabang Delhi (36 - 31),08/04/2014T5:30:00TAM,08/04/2014T5:30:00TAM,,5,31,36,Dabang Delhi,2,Patna Pirates,6
1,19,Match 19,League,2014,Thyagaraj Indoor Stadium,U Mumba beat Bengaluru Bulls (45 - 34),08/05/2014T5:30:00TAM,08/05/2014T5:30:00TAM,,11,34,45,Bengaluru Bulls,1,U Mumba,5
1,20,Match 20,League,2014,Thyagaraj Indoor Stadium,Jaipur Pink Panthers beat Dabang Delhi (40 - 31),08/05/2014T5:30:00TAM,08/05/2014T5:30:00TAM,,9,31,40,Dabang Delhi,2,Jaipur Pink Panthers,3
1,21,Match 21,League,2014,Thyagaraj Indoor Stadium,Dabang Delhi beat Bengal Warriors (46 - 36),08/06/2014T5:30:00TAM,08/06/2014T5:30:00TAM,,10,46,36,Dabang Delhi,2,Bengal Warriors,4
1,22,Match 22,League,2014,Patliputra Indoor Stadium,Patna Pirates beat Puneri Paltan (35 - 27),08/07/2014T5:30:00TAM,08/07/2014T5:30:00TAM,,8,35,Patna Pirates,6,Puneri Paltan,7,
1,23,Match 23,League,2014,Patliputra Indoor Stadium,Bengal Warriors beat Telugu Titans (40 - 35),08/08/2014T5:30:00TAM,08/08/2014T5:30:00TAM,,5,40,35,Bengal Warriors,4,Telugu Titans,8
1,24,Match 24,League,2014,Patliputra Indoor Stadium,Match Drawn (37 - 37),08/08/2014T5:30:00TAM,08/08/2014T5:30:00TAM,Tied,0,37,37,Patna Pirates,6,U Mumba,5
1,25,Match 25,League,2014,Patliputra Indoor Stadium,Jaipur Pink Panthers beat Telugu Titans (49 - 29),08/09/2014T5:30:00TAM,08/09/2014T5:30:00TAM,,20,29,49,Telugu Titans,8,Jaipur Pink Panthers,3
1,26,Match 26,League,2014,Patliputra Indoor Stadium,Match Drawn (30 - 30),08/09/2014T5:30:00TAM,08/09/2014T5:30:00TAM,Tied,0,30,30,Patna Pirates,6,Dabang Delhi,2
1,27,Match 27,League,2014,Patliputra Indoor Stadium,Jaipur Pink Panthers beat Bengal Warriors (39 - 23),08/10/2014T5:30:00TAM,08/10/2014T5:30:00TAM,,16,39,23,Jaipur Pink Panthers,3,Bengal Warriors,4
1,28,Match 28,League,2014,Patliputra Indoor Stadium,Bengaluru Bulls beat Patna Pirates (37 - 35),08/10/2014T5:30:00TAM,08/10/2014T5:30:00TAM,,2,35,37,Patna Pirates,6,Bengaluru Bulls,1
1,29,Match 29,League,2014,Shree Shiv Chhatrapati Sports Complex,Telugu Titans beat Puneri Paltan (42 - 36),08/12/2014T5:30:00TAM,08/12/2014T5:30:00TAM,,6,36,42,Puneri Paltan,7,Telugu Titans,8
1,30,Match 30,League,2014,Shree Shiv Chhatrapati Sports Complex,Bengaluru Bulls beat U Mumba (33 - 30),08/13/2014T5:30:00TAM,08/13/2014T5:30:00TAM,,3,30,33,U Mumba,5,Bengaluru Bulls,1
1,31,Match 31,League,2014,Shree Shiv Chhatrapati Sports Complex,Puneri Paltan beat Bengal Warriors (40 - 30),08/13/2014T5:30:00TAM,08/13/2014T5:30:00TAM,,10,40,30,Puneri Paltan,7,Bengal Warriors,4
1,32,Match 32,League,2014,Shree Shiv Chhatrapati Sports Complex,Dabang Delhi beat Bengaluru Bulls (29 - 27),08/14/2014T5:30:00TAM,08/14/2014T5:30:00TAM,,2,27,29,Bengaluru Bulls,1,Dabang Delhi,2
1,33,Match 33,League,2014,Shree Shiv Chhatrapati Sports Complex,Jaipur Pink Panthers beat Puneri Paltan (50 - 23),08/14/2014T5:30:00TAM,08/14/2014T5:30:00TAM,,27,23,50,Puneri Paltan,7,Jaipur Pink Panthers,3
1,34,Match 34,League,2014,Shree Shiv Chhatrapati Sports Complex,Dabang Delhi beat U Mumba (36 - 27),08/15/2014T5:30:00TAM,08/15/2014T5:30:00TAM,,9,36,27,Dabang Delhi,2,U Mumba,5
1,35,Match 35,League,2014,Shree Shiv Chhatrapati Sports Complex,Patna Pirates beat Puneri Paltan (37 - 31),08/15/2014T5:30:00TAM,08/15/2014T5:30:00TAM,,6,31,37,Puneri Paltan,7,Patna Pirates,6
1,36,Match 36,League,2014,Rajiv Gandhi Indoor Stadium,Match Drawn (28 - 28),08/16/2014T5:30:00TAM,08/16/2014T5:30:00TAM,Tied,0,28,28,Telugu Titans,8,Bengaluru Bulls,1
1,37,Match 37,League,2014,Rajiv Gandhi Indoor Stadium,Jaipur Pink Panthers beat Bengal Warriors (41 - 33),08/16/2014T5:30:00TAM,08/16/2014T5:30:00TAM,,8,33,41,Bengal Warriors,4,Jaipur Pink Panthers,3
1,38,Match 38,League,2014,Rajiv Gandhi Indoor Stadium,Patna Pirates beat Jaipur Pink Panthers (52 - 30),08/17/2014T5:30:00TAM,08/17/2014T5:30:00TAM,,22,30,52,Jaipur Pink Panthers,3,Patna Pirates,6
1,39,Match 39,League,2014,Rajiv Gandhi Indoor Stadium,Telugu Titans beat U Mumba (44 - 43),08/17/2014T5:30:00TAM,08/17/2014T5:30:00TAM,,1,44,43,Telugu Titans,8,U Mumba,5
1,40,Match 40,League,2014,Rajiv Gandhi Indoor Stadium,Bengal Warriors beat Patna Pirates (30 - 28),08/18/2014T5:30:00TAM,08/18/2014T5:30:00TAM,,2,28,30,Patna Pirates,6,Bengal Warriors,4
1,41,Match 41,League,2014,Rajiv Gandhi Indoor Stadium,Telugu Titans beat Puneri Paltan (60 - 24),08/18/2014T5:30:00TAM,08/18/2014T5:30:00TAM,,36,60,24,Telugu Titans,8,Puneri Paltan,7
1,42,Match 42,League,2014,Rajiv Gandhi Indoor Stadium,Telugu Titans beat Dabang Delhi (45 - 26),08/19/2014T5:30:00TAM,08/19/2014T5:30:00TAM,,19,45,26,Telugu Titans,8,Dabang Delhi,2
1,43,Match 43,League,2014,Sawai Mansingh Stadium,Jaipur Pink Panthers beat Bengaluru Bulls (36 - 31),08/20/2014T5:30:00TAM,08/20/2014T5:30:00TAM,,5,36,31,Jaipur Pink Panthers,3,Bengaluru Bulls,1
1,44,Match 44,League,2014,Sawai Mansingh Stadium,Patna Pirates beat Bengal Warriors (36 - 32),08/21/2014T5:30:00TAM,08/21/2014T5:30:00TAM,,4,32,36,Bengal Warriors,4,Patna Pirates,6
1,45,Match 45,League,2014,Sawai Mansingh Stadium,Match Drawn (31 - 31),08/21/2014T5:30:00TAM,08/21/2014T5:30:00TAM,Tied,0,31,31,Jaipur Pink Panthers,3,U Mumba,5
1,46,Match 46,League,2014,Sawai Mansingh Stadium,Match Drawn (34 - 34),08/22/2014T5:30:00TAM,08/22/2014T5:30:00TAM,Tied,0,34,34,Telugu Titans,8,Bengal Warriors,4
1,47,Match 47,League,2014,Sawai Mansingh Stadium,Jaipur Pink Panthers beat Dabang Delhi (41 - 31),08/22/2014T5:30:00TAM,08/22/2014T5:30:00TAM,,10,41,31,Jaipur Pink Panthers,3,Dabang Delhi,2
1,48,Match 48,League,2014,Sawai Mansingh Stadium,Telugu Titans beat Patna Pirates (32 - 29),08/23/2014T5:30:00TAM,08/23/2014T5:30:00TAM,,3,29,32,Patna Pirates,6,Telugu Titans,8
1,49,Match 49,League,2014,Sawai Mansingh Stadium,Jaipur Pink Panthers beat Puneri Paltan (33 - 27),08/23/2014T5:30:00TAM,08/23/2014T5:30:00TAM,,6,33,27,Jaipur Pink Panthers,3,Puneri Paltan,7
1,50,Match 50,League,2014,Kanteerava Indoor Stadium,Bengaluru Bulls beat Bengal Warriors (37 - 24),08/24/2014T5:30:00TAM,08/24/2014T5:30:00TAM,,13,37,24,Bengaluru Bulls,1,Bengal Warriors,4
1,51,Match 51,League,2014,Kanteerava Indoor Stadium,U Mumba beat Dabang Delhi (37 - 30),08/24/2014T5:30:00TAM,08/24/2014T5:30:00TAM,,7,37,30,U Mumba,5,Dabang Delhi,2
1,52,Match 52,League,2014,Kanteerava Indoor Stadium,Dabang Delhi beat Puneri Paltan (45 - 22),08/25/2014T5:30:00TAM,08/25/2014T5:30:00TAM,,23,45,22,Dabang Delhi,2,Puneri Paltan,7
1,53,Match 53,League,2014,Kanteerava Indoor Stadium,Patna Pirates beat Bengaluru Bulls (33 - 31),08/25/2014T5:30:00TAM,08/25/2014T5:30:00TAM,,2,31,33,Bengaluru Bulls,1,Patna Pirates,6
1,54,Match 54,League,2014,Kanteerava Indoor Stadium,Bengaluru Bulls beat Telugu Titans (27 - 26),08/26/2014T5:30:00TAM,08/26/2014T5:30:00TAM,,1,27,26,Bengaluru Bulls,1,Telugu Titans,8
1,55,Match 55,League,2014,Kanteerava Indoor Stadium,U Mumba beat Puneri Paltan (36 - 35),08/27/2014T5:30:00TAM,08/27/2014T5:30:00TAM,,1,35,36,Puneri Paltan,7,U Mumba,5
1,56,Match 56,League,2014,Kanteerava Indoor Stadium,Bengaluru Bulls beat Jaipur Pink Panthers (30 - 29),08/27/2014T5:30:00TAM,08/27/2014T5:30:00TAM,,1,30,29,Bengaluru Bulls,1,Jaipur Pink Panthers,3
1,57,Semi-Final 1,Semi Final,2014,"Dome,Nsci,Svp Stadium,Mumbai",Jaipur Pink Panthers beat Patna Pirates (38 - 18),08/29/2014T5:30:00TAM,08/29/2014T5:30:00TAM,,20,38,18,Jaipur Pink Panthers,3,Patna Pirates,6
1,58,Semi-Final 2,Semi Final,2014,"Dome,Nsci,Svp Stadium,Mumbai",U Mumba beat Bengaluru Bulls (27 - 23),08/29/2014T5:30:00TAM,08/29/2014T5:30:00TAM,,4,27,23,U Mumba,5,Bengaluru Bulls,1
1,59,3rd Place Playoff,Super Playoffs,2014,"Dome,Nsci,Svp Stadium,Mumbai",Patna Pirates beat Bengaluru Bulls (29 - 22),08/31/2014T5:30:00TAM,08/31/2014T5:30:00TAM,,7,29,22,Patna Pirates,6,Bengaluru Bulls,1
1,60,Final,Final,2014,"Dome,Nsci,Svp Stadium,Mumbai",Jaipur Pink Panthers beat U Mumba (35 - 24),08/31/2014T5:30:00TAM,08/31/2014T5:30:00TAM,,11,35,24,Jaipur Pink Panthers,3,U Mumba,5
2,62,Match 1,League,2015,"Dome,Nsci,Svp Stadium,Mumbai",U Mumba beat Jaipur Pink Panthers (29-28),07/18/2015T8:00:00TPM,07/18/2015T8:00:00TPM,W,1,29,28,U Mumba,5,Jaipur Pink Panthers,3
2,63,Match 2,League,2015,"Dome,Nsci,Svp Stadium,Mumbai",Bengaluru Bulls beat Bengal Warriors (33-25),07/18/2015T9:00:00TPM,07/18/2015T9:00:00TPM,W,8,33,25,Bengaluru Bulls,1,Bengal Warriors,4
2,64,Match 3,League,2015,"Dome,Nsci,Svp Stadium,Mumbai",Telugu Titans beat Dabang Delhi (36-27),07/19/2015T8:00:00TPM,07/19/2015T8:00:00TPM,W,9,36,27,Telugu Titans,8,Dabang Delhi,2
2,65,Match 4,League,2015,"Dome,Nsci,Svp Stadium,Mumbai",U Mumba beat Bengaluru Bulls (36-23),07/19/2015T9:00:00TPM,07/19/2015T9:00:00TPM,W,13,36,23,U Mumba,5,Bengaluru Bulls,1
2,66,Match 5,League,2015,"Dome,Nsci,Svp Stadium,Mumbai",Telugu Titans beat Puneri Paltan (45-24),07/20/2015T8:00:00TPM,07/20/2015T8:00:00TPM,W,21,24,45,Puneri Paltan,7,Telugu Titans,8
2,67,Match 6,League,2015,"Dome,Nsci,Svp Stadium,Mumbai",U Mumba beat Patna Pirates (25-20),07/20/2015T9:00:00TPM,07/20/2015T9:00:00TPM,W,5,25,20,U Mumba,5,Patna Pirates,6
2,68,Match 7,League,2015,"Dome,Nsci,Svp Stadium,Mumbai",U Mumba beat Puneri Paltan (28-21),07/21/2015T8:00:00TPM,07/21/2015T8:00:00TPM,W,7,28,21,U Mumba,5,Puneri Paltan,7
2,69,Match 8,League,2015,Netaji Indoor Stadium,Bengal Warriors beat Jaipur Pink Panthers (28-26),07/22/2015T8:00:00TPM,07/22/2015T8:00:00TPM,W,2,28,26,Bengal Warriors,4,Jaipur Pink Panthers,3
2,70,Match 9,League,2015,Netaji Indoor Stadium,Bengaluru Bulls beat Patna Pirates (31-26),07/22/2015T9:00:00TPM,07/22/2015T9:00:00TPM,W,5,31,26,Bengaluru Bulls,1,Patna Pirates,6
2,71,Match 10,League,2015,Netaji Indoor Stadium,Telugu Titans beat Bengal Warriors (32-30),07/23/2015T8:00:00TPM,07/23/2015T8:00:00TPM,W,2,30,32,Bengal Warriors,4,Telugu Titans,8
2,72,Match 11,League,2015,Netaji Indoor Stadium,Dabang Delhi beat Puneri Paltan (38-37),07/24/2015T8:00:00TPM,07/24/2015T8:00:00TPM,W,1,38,37,Dabang Delhi,2,Puneri Paltan,7
2,73,Match 12,League,2015,Netaji Indoor Stadium,U Mumba beat Bengal Warriors (29-25),07/24/2015T9:00:00TPM,07/24/2015T9:00:00TPM,W,4,25,29,Bengal Warriors,4,U Mumba,5
2,74,Match 13,League,2015,Netaji Indoor Stadium,Bengaluru Bulls beat Puneri Paltan (31-26),07/25/2015T8:00:00TPM,07/25/2015T8:00:00TPM,W,5,31,26,Bengaluru Bulls,1,Puneri Paltan,7
