season,match_id,match_name,league_stage,year,venue,winning_margin,team_score_1,team_score_2,team_name_1,team_id_1,team_name_2,team_id_2,total_points_match,winner,loser,max_score
1,1,Match 1,League,2014,"Dome,Nsci,Svp Stadium,Mumbai",14,45,31,U Mumba,5,Jaipur Pink Panthers,3,76,U Mumba,Jaipur Pink Panthers,45
1,2,Match 2,League,2014,"Dome,Nsci,Svp Stadium,Mumbai",19,28,47,Dabang Delhi,2,Bengaluru Bulls,1,75,Bengaluru Bulls,Dabang Delhi,47
1,3,Match 3,League,2014,"Dome,Nsci,Svp Stadium,Mumbai",3,40,37,Bengaluru Bulls,1,Puneri Paltan,7,77,Bengaluru Bulls,Puneri Paltan,40
1,4,Match 4,League,2014,"Dome,Nsci,Svp Stadium,Mumbai",11,36,25,U Mumba,5,Bengal Warriors,4,61,U Mumba,Bengal Warriors,36
1,5,Match 5,League,2014,"Dome,Nsci,Svp Stadium,Mumbai",4,31,35,Puneri Paltan,7,Dabang Delhi,2,66,Dabang Delhi,Puneri Paltan,35
1,6,Match 6,League,2014,"Dome,Nsci,Svp Stadium,Mumbai",0,35,35,U Mumba,5,Telugu Titans,8,70,tied,tied,35
1,7,Match 7,League,2014,"Dome,Nsci,Svp Stadium,Mumbai",3,36,33,U Mumba,5,Patna Pirates,6,69,U Mumba,Patna Pirates,36
1,8,Match 8,League,2014,Netaji Indoor Stadium,16,30,46,Bengal Warriors,4,Bengaluru Bulls,1,76,Bengaluru Bulls,Bengal Warriors,46
1,9,Match 9,League,2014,Netaji Indoor Stadium,14,46,32,Jaipur Pink Panthers,3,Telugu Titans,8,78,Jaipur Pink Panthers,Telugu Titans,46
1,10,Match 10,League,2014,Netaji Indoor Stadium,2,42,40,Bengal Warriors,4,Dabang Delhi,2,82,Bengal Warriors,Dabang Delhi,42
1,11,Match 11,League,2014,Netaji Indoor Stadium,3,35,38,Telugu Titans,8,Patna Pirates,6,73,Patna Pirates,Telugu Titans,38
1,12,Match 12,League,2014,Netaji Indoor Stadium,3,38,35,Bengal Warriors,4,Puneri Paltan,7,73,Bengal Warriors,Puneri Paltan,38
1,13,Match 13,League,2014,Netaji Indoor Stadium,22,18,40,Patna Pirates,6,Jaipur Pink Panthers,3,58,Jaipur Pink Panthers,Patna Pirates,40
1,14,Match 14,League,2014,Netaji Indoor Stadium,9,29,38,Bengal Warriors,4,U Mumba,5,67,U Mumba,Bengal Warriors,38
1,15,Match 15,League,2014,Thyagaraj Indoor Stadium,4,35,39,Dabang Delhi,2,Telugu Titans,8,74,Telugu Titans,Dabang Delhi,39
1,16,Match 16,League,2014,Thyagaraj Indoor Stadium,2,33,31,Puneri Paltan,7,Bengaluru Bulls,1,64,Puneri Paltan,Bengaluru Bulls,33
1,17,Match 17,League,2014,Thyagaraj Indoor Stadium,16,44,28,U Mumba,5,Puneri Paltan,7,72,U Mumba,Puneri Paltan,44
1,18,Match 18,League,2014,Thyagaraj Indoor Stadium,5,31,36,Dabang Delhi,2,Patna Pirates,6,67,Patna Pirates,Dabang Delhi,36
1,19,Match 19,League,2014,Thyagaraj Indoor Stadium,11,34,45,Bengaluru Bulls,1,U Mumba,5,79,U Mumba,Bengaluru Bulls,45
1,20,Match 20,League,2014,Thyagaraj Indoor Stadium,9,31,40,Dabang Delhi,2,Jaipur Pink Panthers,3,71,Jaipur Pink Panthers,Dabang Delhi,40
1,21,Match 21,League,2014,Thyagaraj Indoor Stadium,10,46,36,Dabang Delhi,2,Bengal Warriors,4,82,Dabang Delhi,Bengal Warriors,46
1,22,Match 22,League,2014,Patliputra Indoor Stadium,8,35,27,Patna Pirates,6,Puneri Paltan,7,62,Patna Pirates,Puneri Paltan,35
1,23,Match 23,League,2014,Patliputra Indoor Stadium,5,40,35,Bengal Warriors,4,Telugu Titans,8,75,Bengal Warriors,Telugu Titans,40
1,24,Match 24,League,2014,Patliputra Indoor Stadium,0,37,37,Patna Pirates,6,U Mumba,5,74,tied,tied,37
1,25,Match 25,League,2014,Patliputra Indoor Stadium,20,29,49,Telugu Titans,8,Jaipur Pink Panthers,3,78,Jaipur Pink Panthers,Telugu Titans,49
1,26,Match 26,League,2014,Patliputra Indoor Stadium,0,30,30,Patna Pirates,6,Dabang Delhi,2,60,tied,tied,30
1,27,Match 27,League,2014,Patliputra Indoor Stadium,16,39,23,Jaipur Pink Panthers,3,Bengal Warriors,4,62,Jaipur Pink Panthers,Bengal Warriors,39
1,28,Match 28,League,2014,Patliputra Indoor Stadium,2,35,37,Patna Pirates,6,Bengaluru Bulls,1,72,Bengaluru Bulls,Patna Pirates,37
1,29,Match 29,League,2014,Shree Shiv Chhatrapati Sports Complex,6,36,42,Puneri Paltan,7,Telugu Titans,8,78,Telugu Titans,Puneri Paltan,42
1,30,Match 30,League,2014,Shree Shiv Chhatrapati Sports Complex,3,30,33,U Mumba,5,Bengaluru Bulls,1,63,Bengaluru Bulls,U Mumba,33
1,31,Match 31,League,2014,Shree Shiv Chhatrapati Sports Complex,10,40,30,Puneri Paltan,7,Bengal Warriors,4,70,Puneri Paltan,Bengal Warriors,40
1,32,Match 32,League,2014,Shree Shiv Chhatrapati Sports Complex,2,27,29,Bengaluru Bulls,1,Dabang Delhi,2,56,Dabang Delhi,Bengaluru Bulls,29
1,33,Match 33,League,2014,Shree Shiv Chhatrapati Sports Complex,27,23,50,Puneri Paltan,7,Jaipur Pink Panthers,3,73,Jaipur Pink Panthers,Puneri Paltan,50
1,34,Match 34,League,2014,Shree Shiv Chhatrapati Sports Complex,9,36,27,Dabang Delhi,2,U Mumba,5,63,Dabang Delhi,U Mumba,36
1,35,Match 35,League,2014,Shree Shiv Chhatrapati Sports Complex,6,31,37,Puneri Paltan,7,Patna Pirates,6,68,Patna Pirates,Puneri Paltan,37
