player_id,name,jersey_number,captain_count,played_count,green_card_count,yellow_card_count,red_card_count,starter_count,top_raider_count,top_defender_count,total_points,team_id,team_name,total_matches_in_season,season,team_name,cards_total
15,Sanjay Shrestha,88,0,2,0,0,0,1,0,0,0,3,Jaipur Pink Panthers,16,1,Jaipur Pink Panthers,0
22,Wei Yang,20,0,4,0,0,0,1,0,0,2,3,Jaipur Pink Panthers,16,1,Jaipur Pink Panthers,0
32,Balbir Singh,1,0,8,0,0,0,2,0,0,14,3,Jaipur Pink Panthers,16,1,Jaipur Pink Panthers,0
44,Gangadhari Mallesh,0,0,10,0,0,0,3,0,0,15,3,Jaipur Pink Panthers,16,1,Jaipur Pink Panthers,0
52,Jasvir Singh,2,0,15,1,0,0,15,0,0,148,3,Jaipur Pink Panthers,16,1,Jaipur Pink Panthers,1
72,Navneet Gautam,9,14,14,0,0,0,14,0,0,0,3,Jaipur Pink Panthers,16,1,Jaipur Pink Panthers,0
86,Rajesh Narwal,11,0,16,2,0,0,16,0,0,101,3,Jaipur Pink Panthers,16,1,Jaipur Pink Panthers,2
87,Raju Lal Choudhary,9,0,5,0,0,0,2,0,0,0,3,Jaipur Pink Panthers,16,1,Jaipur Pink Panthers,0
96,Rohit Rana,10,0,15,0,0,0,15,0,0,0,3,Jaipur Pink Panthers,16,1,Jaipur Pink Panthers,0
143,Maninder Singh,9,0,16,0,0,0,16,0,0,174,3,Jaipur Pink Panthers,16,1,Jaipur Pink Panthers,0
144,Gokul Shitole,15,0,3,0,0,0,3,0,0,0,3,Jaipur Pink Panthers,16,1,Jaipur Pink Panthers,0
147,Prashant Chavan,18,2,15,2,0,0,15,0,0,1,3,Jaipur Pink Panthers,16,1,Jaipur Pink Panthers,2
159,Samarjeet Singh,0,0,12,0,0,0,6,0,0,5,3,Jaipur Pink Panthers,16,1,Jaipur Pink Panthers,0
160,Ran Singh,13,0,10,0,0,0,8,0,0,15,3,Jaipur Pink Panthers,16,1,Jaipur Pink Panthers,0
1,Mohammad Ziaur Rahman,5,0,2,0,0,0,2,0,0,0,5,U Mumba,16,1,U Mumba,0
8,Masayuki Shimokawa,1,0,3,0,0,0,2,0,0,0,5,U Mumba,16,1,U Mumba,0
29,Anup Kumar,3,16,16,3,0,0,16,0,0,202,5,U Mumba,16,1,U Mumba,3
53,Jeeva Gopal,6,0,11,0,0,0,8,0,0,1,5,U Mumba,16,1,U Mumba,0
54,Jeeva Kumar,6,0,9,0,0,0,9,0,0,0,5,U Mumba,16,1,U Mumba,0
71,Mohit Chhillar,4,0,16,0,0,0,16,0,0,1,5,U Mumba,16,1,U Mumba,0
94,Rishank Devadiga,777,0,16,0,0,0,16,0,0,106,5,U Mumba,16,1,U Mumba,0
105,Shabeer Bappu,2,0,10,0,0,0,9,0,0,78,5,U Mumba,16,1,U Mumba,0
117,Suresh Pathapalem,5,0,2,0,0,0,2,0,0,0,5,U Mumba,16,1,U Mumba,0
123,Vishal Mane,12,0,16,0,0,0,16,0,0,0,5,U Mumba,16,1,U Mumba,0
145,Md. Aruduzzaman Munshi,2,0,5,0,0,0,2,0,0,3,5,U Mumba,16,1,U Mumba,0
146,Surender Nada,1,0,15,0,0,0,15,0,0,10,5,U Mumba,16,1,U Mumba,0
156,Pawan Kumar Kadian,12,0,10,0,0,0,7,0,0,67,5,U Mumba,16,1,U Mumba,0
171,Pradeep Kumar,0,0,3,0,0,0,1,0,0,3,5,U Mumba,16,1,U Mumba,0
173,Suresu Kumar,27,0,3,0,0,0,1,0,0,10,5,U Mumba,16,1,U Mumba,0
3,I Ketut Ariana,70,0,0,0,0,0,0,0,0,0,1,Bengaluru Bulls,16,1,Bengaluru Bulls,0
21,Sinotharan Kanesharajah,19,0,1,0,0,0,0,0,0,4,1,Bengaluru Bulls,16,1,Bengaluru Bulls,0
24,Michael Adam Dubery,13,0,0,0,0,0,0,0,0,0,1,Bengaluru Bulls,16,1,Bengaluru Bulls,0
26,Ajay Thakur,7,0,15,1,0,0,15,0,0,184,1,Bengaluru Bulls,16,1,Bengaluru Bulls,1
42,Dharmaraj Cheralathan,1,0,16,1,0,0,16,0,0,15,1,Bengaluru Bulls,16,1,Bengaluru Bulls,1
45,Gurpreet Singh,4,0,16,1,0,0,16,0,0,3,1,Bengaluru Bulls,16,1,Bengaluru Bulls,1
59,Kiran Parmar,14,0,0,0,0,0,0,0,0,0,1,Bengaluru Bulls,16,1,Bengaluru Bulls,0
69,Manjeet Chhillar,5,16,16,3,0,0,16,0,0,129,1,Bengaluru Bulls,16,1,Bengaluru Bulls,3
85,Rajesh Mondal,4,0,15,0,0,0,13,0,0,68,1,Bengaluru Bulls,16,1,Bengaluru Bulls,0
103,Sarun Das,2,0,0,0,0,0,0,0,0,0,1,Bengaluru Bulls,16,1,Bengaluru Bulls,0
113,Sunil Hanumanthappa,11,0,5,0,0,0,4,0,0,4,1,Bengaluru Bulls,16,1,Bengaluru Bulls,0
